file,number,x_std,y_std,width,length,distance,x_var,y_var,people
11,3,81.63110936,30.66694095,74.95564018,196.3103732,82.27881872,6663.638015,940.4612674,0
11,25,17.55627405,221.6258823,738.6720315,62.56628567,193.7071053,308.2227584,49118.03168,0
11,24,10.14079625,195.8859861,627.3028108,35.96757833,171.0528116,102.8357486,38371.31955,0
11,14,61.66373741,74.23728579,244.6752192,201.8323902,87.71316697,3802.416511,5511.174602,1
11,5,8.438205835,47.96063198,119.7780738,22.11124159,46.60651425,71.20331771,2300.22222,0
11,5,33.1247061,27.9208467,63.33354414,76.54843754,42.07243568,1097.246154,779.5736805,0
11,12,94.94591227,22.519246,63.55249073,266.5793838,88.44496332,9014.726257,507.1164403,0
11,80,424.736019,65.17238761,249.1704856,1394.64791,375.0549573,180400.6859,4247.440107,0
11,6,21.0979565,0.675453558,1.782180546,49.44973882,20.81259419,445.1237686,0.456237509,0
11,221,52.86802455,195.3868103,784.1954462,208.23198,170.6090344,2795.02802,38176.00565,0
11,19,41.22876361,4.639814528,16.05269231,138.536988,35.87286633,1699.810949,21.52787885,0
11,2,21.32498403,29.8314401,59.6628802,42.64996806,36.66973906,454.7549439,889.9148186,0
11,196,57.57712881,220.0956178,780.0299866,213.8460695,197.6076696,3315.125762,48442.08096,0
11,216,0,0,0,0,0,0,0,0
11,29,45.48910722,7.925245336,36.2346669,170.2873768,38.58767454,2069.258875,62.80951363,0
11,56,161.7790019,103.7096527,266.7017329,530.5150734,179.6505976,26172.44544,10755.69207,0
11,44,251.324703,55.22340177,206.5971796,712.9765202,234.8648016,63164.10635,3049.624103,0
11,23,20.36441928,229.9250064,732.6856252,89.42995021,205.1332105,414.7095725,52865.50858,0
11,23,7.947472356,195.5802442,668.7958651,32.85497879,168.2844777,63.16231686,38251.63193,0
11,12,70.34391642,89.53488312,310.3136171,224.5669359,103.9737666,4948.266577,8016.495296,1
11,13,13.28166026,149.8177486,515.6887833,37.3897007,124.1229706,176.4024992,22445.35779,0
11,6,37.29655164,26.16862944,70.37025356,98.74615272,43.39266745,1391.032764,684.7971666,0
11,13,130.8448695,31.63268797,100.0246595,454.0896852,109.8616795,17120.37989,1000.626948,0
11,79,424.9578319,65.15785303,244.7426871,1533.99964,374.2296486,180589.1589,4245.545811,0
11,6,25.96104067,0.9589004,3.116979918,77.97893054,21.76073799,673.9756328,0.919489978,0
11,2,13.94085095,35.51419302,71.02838603,27.88170189,38.15239482,194.3473251,1261.257906,0
11,194,0,0,0,0,0,0,0,0
